city,category,fit_score,status,organization,phone,email,contact,website,size_signal,event_signal,why,sources,type_raw,city_raw,md_line
Fort Myers,apartment and condo communities with event staff,5,,Botanica Lakes Homeowners Association,(239) 561-6242,unknown,"HOA clubhouse office, 10300 Botanica Lakes Blvd, Fort Myers 33913 (Mon-Fri 8:00am-4:00pm)",https://botanicalakeshoa.com/,"685 single-family homes on 105 acres. Explicitly described as an ""Adult, Kids & Family community"" — not age-restricted. Amenities include a children's activity center and a children's water play area, confirming a strong kids population.","The HOA runs a standing Social Committee ""responsible for social activities that would enhance the quality of life in the Adult, Kids & Family community by providing recreation, social gatherings, and community activities,"" plus holiday celebrations, fitness classes and community gatherings through the year. Clubhouse has a social hall for events.","Family-skewed gated community with a named social/events function, a kid-focused amenity set, an on-site clubhouse office with a published business phone, and 685 households. Textbook $649 Commercial buyer for a summer or holiday resident event.",https://botanicalakeshoa.com/contacts/,apartment and condo communities with event staff,Fort Myers,865
Fort Myers,apartment and condo communities with event staff,5,,Marina Bay (GL Homes),unknown,unknown,Clubhouse / lifestyle complex staff — community employs a full-time social director,https://www.glhomes.com/marina-bay/lifestyle/,"Unit count not published. Explicitly all-ages, not 55+: amenities include an interactive Splash Park for kids, shaded playground, open playfield, party pavilion, resort pool with fountain, lap pool, and a 12,750 sq ft clubhouse and lifestyle complex.","""A full-time social director works around the clock to plan events, activities, and clubs for all ages."" Community materials describe a year-round calendar of family activities and social events, plus ongoing events, watch parties and club gatherings in the social hall, and a party pavilion built for outdoor gatherings.","Named full-time social director with an explicit family-and-all-ages mandate, an existing splash park and party pavilion (so foam is an easy conceptual sell), and a large purpose-built outdoor event footprint. Best-fit decision maker in this category; only gap is a published direct phone.",https://www.glhomes.com/marina-bay/lifestyle/,apartment and condo communities with event staff,Fort Myers,878
Fort Myers,apartment and condo communities with event staff,4,,CCMC (Capital Consultants Management Corporation) — Fort Myers,unknown,unknown,"Lifestyle Director role, Fort Myers (open position posted; community assignment not disclosed)",https://ccmcnet.com/,"National community-association management firm specializing in large-scale master-planned communities; the Fort Myers Lifestyle Director role is budgeted at roughly $60,000-$80,000/yr and requires 3-4 years of event planning or PR experience, indicating a substantial community and event budget.",The company staffs a dedicated Lifestyle Director in Fort Myers whose job is defined around event planning for residents — a management-company-level resident events function rather than a single property's.,"A management-company relationship can put foam on multiple community calendars at once, and the Lifestyle Director is exactly the buyer persona. Weakness: the specific Fort Myers community is not named publicly and no direct local phone or email was found, so this requires a call into CCMC's main line to route.",https://ccmcnet.com/,apartment and condo communities with event staff,Fort Myers,930
Fort Myers,apartment and condo communities with event staff,4,,Portico,unknown,unknown,"On-site HOA management team, office located inside the community clubhouse",https://www.porticoinfo.com/,"Projected 1,408 homes at full build-out (townhomes, Executive, Manor and Estate collections) in the Buckingham area. Family-oriented amenity set — kids playground, community pool, basketball court, two tennis and two pickleball courts, BBQ area. Not age-restricted.","Amenity center (opened end of 2020) includes a clubhouse and multi-purpose room described as being for ""social gatherings and community events,"" with the professional HOA management team on site running the facility.","Very large family community with a staffed on-site management office that controls the clubhouse and event space, plus pool and BBQ areas that suit a foam setup. Event evidence is amenity-level rather than a published calendar — verify their programming cadence on first call.",https://www.porticoinfo.com/,apartment and condo communities with event staff,Fort Myers,891
Fort Myers,apartment and condo communities with event staff,4,,The Carlton of Fort Myers,(863) 302-9977 (leasing office number listed on apartment listing pages; site itself unreachable to verify),unknown,"Leasing office, 6170 Mahaffey Rd, Fort Myers 33966 (Mon-Fri 9-6, Sat 9-5)",https://www.thecarltonoffortmyers.com/,"442-unit lakefront rental community completed fall 2021; 1-3 bedroom units, 625-1,587 sq ft — the 2-3BR mix and $1,197 starting rents point to a working-family renter base, not 55+","Resident reviews describe an ongoing resident-event program run by the office — bingo nights and ""Thirsty Thursdays,"" and the community ""occasionally incorporates food trucks at resident events."" Pool and pond amenity areas on site.","Large enough unit count to justify a Commercial-tier booking, already spends on recurring resident events including food trucks, and has an on-site pool deck/lawn area. A foam party is a direct upgrade to their existing event calendar.",https://www.apartmentratings.com/fl/fort-myers/the-carlton-of-fort-myers_9199332346275206987/,apartment and condo communities with event staff,Fort Myers,917
Fort Myers,apartment and condo communities with event staff,4,,Timber Creek,unknown,unknown,Clubhouse / amenity campus staff — unknown by name,https://www.lennar.com/new-homes/florida/naples-ft-myers/fort-myers/timber-creek,"Gated resort-style masterplan at Daniels Pkwy and Immokalee Rd (adjacent to Gateway) with townhomes and single-family homes across three Lennar collections, Executive homes from 3BR/1,800 sq ft up to 5BR/3,200+ sq ft. Clearly family-targeted: splash pad, playgrounds, arcade, indoor gymnasium, sand volleyball, event lawn.","""Residents often gather together for social festivities and events in Timber Creek's own community room."" The amenity campus includes a dedicated event lawn and firepit areas alongside multiple pools and a splash pad.","Newer, large, unambiguously family-skewed community with a dedicated event lawn and splash pad — the audience and the setup are already there. Need to identify the amenity/lifestyle staffer, since no director role or phone is published.",https://www.lennar.com/new-homes/florida/naples-ft-myers/fort-myers/timber-creek,apartment and condo communities with event staff,Fort Myers,904
Fort Myers,apartment and condo communities with event staff,3,,Gateway Services Community Development District,239-561-1313,publicrecords@gatewaydistrict.org (public-records inbox; not an events address),"District office, 11922 Fairway Lakes Drive, Suite 1, Fort Myers (Mon-Fri 7:30am-4:00pm). Laura LeRoy, Assistant District Manager, ext. 207.",https://gatewaydistrict.org/parks/,"Governmental district serving the whole Gateway master-planned community — thousands of households, all ages. Facilities skew heavily toward families: Commons Pool, Sherman Soccer Complex, baseball fields, playgrounds, Fun Park, Linear Park with 2+ miles of trails, dog park.","The District runs Parks and Recreation as a formal function (including public Parks and Recreation community townhalls) and operates the Commons Pool and Fun Park. No published resident-event calendar was found — the signal is programming infrastructure, not confirmed events.","A CDD with its own pool, Fun Park and parks-and-rec department is a legitimate buyer for a community foam event, and the published business phone plus named assistant district manager makes it callable. Downgraded because government procurement is slower and no actual resident-event program was verified.",https://gatewaydistrict.org/parks/,apartment and condo communities with event staff,Fort Myers,943
Fort Myers,apartment and condo communities with event staff,3,,Paseo Fort Myers,unknown,unknown,"Pam Barry, Activities Director (published community role)",https://www.mypaseo.life/,"Unit count not confirmed. Age mix is ambiguous and worth verifying: one directory lists Paseo under 55+ communities, while the community's own club list (basketball, tennis, aerobics, book club, Mah Jongg) reads as a mixed-age resort community. Treat the family share as unconfirmed.","""A full-time activities director keeps the social calendar full and organized,"" with a published resident calendar page and a dedicated Social > Parties section on the resident portal; the HOA social committee runs holiday celebrations and themed parties alongside fitness classes and sports tournaments.","Strong, confirmed events infrastructure — a full-time activities director, a live calendar and an explicit ""Parties"" program — which is exactly who buys. Held at 3 because the resident age skew is unresolved and several published clubs suggest an older base; confirm the kid population before pitching.",https://www.mypaseo.life/calendar/,apartment and condo communities with event staff,Fort Myers,956
Fort Myers,apartment and condo communities with event staff,3,,The Residences at University Village,unknown,unknown,Leasing office — unknown by name,https://www.liveuv.com/,"Unit count not published. Positioned as a luxury Fort Myers apartment community; resident mix not stated, likely young professional and student-adjacent rather than family-heavy.",Marketing copy advertises monthly resident events as a standing amenity.,"A recurring monthly resident-event budget is a real, repeatable buying signal and fits the Classic or Deluxe tier. Downgraded because the audience likely skews adult, and no unit count, phone or event-staff name was verified.",https://www.liveuv.com/,apartment and condo communities with event staff,Fort Myers,969
Fort Myers,apartment and condo communities with event staff,2,,81 West Apartments (AMP Residential),unknown,unknown,Leasing office — unknown by name,https://www.ampresidential.com/81-west-apartments-fort-myers-fl/,"Unit count not published. Managed by AMP Residential, a multi-property operator, so a single relationship could extend to other properties in their portfolio.","Weak. The community clubhouse is marketed as ""the ideal place to socialize with neighbors"" with a full kitchen and entertainment space, but no resident-event program, calendar or event staff role was found.","Social space and a portfolio operator behind it, but no actual evidence of resident events — a cold prospect to qualify, not a warm one.",https://www.ampresidential.com/81-west-apartments-fort-myers-fl/,apartment and condo communities with event staff,Fort Myers,995
Fort Myers,apartment and condo communities with event staff,2,,Verandah (residential community),239.694.7229,unknown,Full-time Activities Director (role published; name not found),https://www.verandahgolfclub.com/lifestyle,"Unit count not published. Golf and country club community; published activity roster — Texas hold'em, bridge, Mah Jongg, beading club, Broadway trips, pub crawls, spring training outings — indicates a strongly adult and retiree-skewed membership.","""Verandah's full-time activities director keeps residents' social calendars full by planning both on-site activities and excursions outside of the community,"" with a wide club and event program.","Confirmed full-time activities director and a published business phone, but the entire documented event program is adult-oriented. Only worth a call if they run a grandkids-visiting or spring-break family weekend; otherwise the audience is wrong.",https://www.verandahgolfclub.com/lifestyle,apartment and condo communities with event staff,Fort Myers,982
Fort Myers,birthday party venues,5,,M&M Farms,(239) 900-5425,unknown,unknown,https://mmfarmswfl.com/,"Working farm venue at 5500 Higginbotham Rd, Fort Myers 33905 (Buckingham area); 2,800 sq ft covered pavilion plus a renovated air-conditioned barn with farm tables, chairs, draping and lighting","Lists party, shower and event hosting alongside weddings; 2,800 sq ft covered pavilion, playground and AC restrooms; reviews describe all-inclusive setups with decorations, setup/breakdown and an included petting zoo","Best-shaped prospect in this category — outdoor pavilion plus open farm land, a playground signalling kid events, and they already bundle add-ons (petting zoo, decor) into packages. Foam is a natural line item to add to an existing kids' package rather than a competing service. Verify whether they take standalone kids' birthdays or are mostly wedding-booked.",https://mmfarmswfl.com/,birthday party venues,Fort Myers,1010
Fort Myers,birthday party venues,5,,Southern Fresh Farms,(239) 768-0309,unknown,unknown,https://southernfreshfarms.com/,"Working agritourism farm and craft brewery at 8500 Penzance Blvd, Fort Myers 33912; 2,700 sq ft barn plus additional open barns with picnic seating; runs seasonal festivals with live bands and food vendors","Markets rental spaces for ""weddings, birthday parties, holiday parties, baby showers"" with an event barn and a spacious outdoor event tent; on-site playground and farm animal petting area","Large outdoor farm acreage with existing event infrastructure and an established birthday-party rental line. Plenty of open ground away from the barn for a foam pit, and a working farm almost certainly has water spigots. They host festivals too — a second revenue path as a festival attraction.",https://southernfreshfarms.com/,birthday party venues,Fort Myers,1023
Fort Myers,birthday party venues,5,,Tiny Hiney Farm,unknown,unknown,unknown (inquiry form at tinyhineyfarm.com/contact),https://tinyhineyfarm.com/parties,Small private working farm with miniature animals; parties capped at ~25 guests,"Published party page — ""exclusive 3-hour farm rental"" for up to 25 guests, packages starting from $350, including petting zoo time, egg collecting, animal brushing, axe throwing and mini golf, plus a dedicated party area where families bring their own decorations, food and cake",Fully outdoor private farm that already sells a fixed-price 3-hour birthday rental and explicitly lets families bring their own add-ons — foam slots in as an upsell or referral without competing with anything they offer. Farm setting means open ground and hose access. Confirm phone/email and whether foam is compatible with their animal areas.,https://tinyhineyfarm.com/parties,birthday party venues,Fort Myers,1036
Fort Myers,birthday party venues,4,,Calusa Nature Center & Planetarium,(239) 275-3435,unknown,unknown,https://www.calusanature.org/event-rentals,Nonprofit nature center and planetarium on a large wooded Lee County site; party capacity up to 50 guests in the Iona House; McNew Pavilion capacity ~130,"Published ""WILD Birthday Party"" package — 3 hours of party time in the Iona House for up to 50 guests, with a choice of 2 activities (private planetarium show, animal meet & greet, guided arts and crafts, or guided nature hike); outdoor rental inventory includes the Pine Pavilion with adjacent greenspace, the Iona House meadow, a Fire Circle and the McNew Pavilion; party rentals quoted in the $80–$1,200 range plus a $150 cleaning deposit","Real published birthday program with named outdoor spaces (pavilion, greenspace, meadow) that could hold a foam setup. Two cautions: the Pine pavilion/meadow floods in wet season and is best November–May, and a nature center with resident animals may have restrictions on soap runoff — ask directly. Strong dry-season add-on or referral candidate.",https://www.calusanature.org/event-rentals,birthday party venues,Fort Myers,1049
Fort Myers,birthday party venues,4,,Zoomers Amusement Park,unknown,unknown,unknown,unknown,"Outdoor family amusement park at 17455 Summerlin Rd, Fort Myers; go-karts, rides and arcade; per-attraction pricing from $0.65 per play to $7.50 per go-kart ride with no gate admission","Promotes ""special events and party packages"" for birthdays, corporate events and other occasions, with private party rooms and customized catering options","Outdoor attraction with acreage and an existing party-package business, so foam could be sold as a premium add-on to their birthday tier or booked into an underused corner of the property. Contact details unconfirmed — phone, email and official site all need verification before outreach.",https://www.gulfmainmagazine.com/businesses/fl-fort-myers-zoomers-amusement-park,birthday party venues,Fort Myers,1062
Fort Myers,birthday party venues,3,,Burroughs Home & Gardens,(239) 337-9505,unknown,unknown,https://burroughshome.com/,"Historic riverfront estate at 2505 First Street, Fort Myers 33901; Gale McBride Pavilion seats up to 200–300","Rents for weddings, galas, fundraisers, holiday parties, corporate events and luncheons; the 2016 riverfront Gale McBride Pavilion can be configured open-air or fully enclosed for up to 200 guests, and all rental packages include the mansion, grounds, gazebo and pavilion","Genuinely outdoor (riverfront grounds, gazebo, open-air pavilion) and clearly in the event business, but the published event mix is weddings and adult corporate functions rather than kids' birthdays, and a historic-landmark property may not want foam on manicured grounds. Worth one call as a referral source for family-day and company-picnic clients.",https://burroughshome.com/,birthday party venues,Fort Myers,1075
Fort Myers,birthday party venues,3,,Slick City Action Park — Fort Myers,unknown,unknown,unknown,https://slickcity.com/fl-fort-myers/parties/,"Large indoor action park with slides, attractions and multiple private party rooms; base package covers birthday kid plus 9 guests","Three published birthday tiers with per-additional-guest pricing — Fun $27.99, Thrill $32.99, Deluxe $41.99 per person; every party includes a reserved party table or room, a shared party host, attraction play time, paper goods, and setup/cleanup","High-volume, well-run birthday operation that proves demand and price tolerance in this market, but it is a purely indoor slide park with no outdoor space or obvious water hookup. Value is as a referral/overflow partner for customers who want an outdoor or at-home option. Corporate franchise structure may limit local partnership authority.",https://slickcity.com/fl-fort-myers/parties/,birthday party venues,Fort Myers,1088
Fort Myers,birthday party venues,2,,Chuck E. Cheese — Fort Myers,unknown,unknown,unknown,https://www.chuckecheese.com/fort-myers-fl/birthday-parties/,National chain location; packages priced per child with add-on guests,"Published birthday packages starting at $99.99 including unlimited gameplay, the Chuck E. Cheese Birthday Show, Ticket Blaster, decorated table, Birthday Star recognition and a character appearance; each additional kid $19.99","Clear published birthday business but entirely indoor with no outdoor space, and as a corporate chain the local store has essentially no authority to add a third-party vendor. Listed mainly as a competitive price benchmark for the Fort Myers kids' party market, not a realistic partner.",https://www.chuckecheese.com/fort-myers-fl/birthday-parties/,birthday party venues,Fort Myers,1101
Fort Myers,birthday party venues,2,,The Little Gym of Fort Myers (party venue),unknown,unknown,unknown,https://www.thelittlegym.com/florida-fort-myers/kids-birthday-parties/,Single-location children's gymnastics franchise; party capacity and pricing not published on the page found,"Dedicated kids' birthday party page — planned activities with games and music, trained staff who ""take care of everything,"" parties built around the birthday child; no pricing tiers published","Real kids' birthday program and a good referral audience (parents of 2–8 year olds), but a small indoor gym with no outdoor area or water access, so foam cannot run on-site. Franchise contact details and any local-owner name still need verification.",https://www.thelittlegym.com/florida-fort-myers/kids-birthday-parties/,birthday party venues,Fort Myers,1114
Fort Myers,breweries and food truck parks that host family events,5,,Backyard Social,unknown,unknown,unknown,https://backyardsocial.com,"Indoor/outdoor ""eatertainment"" venue at 16371 Corporate Commerce Way, Fort Myers; 8 curated local food trucks, full-service bar, ample seating, four duckpin bowling lanes, golf simulator, darts, shuffleboard, cornhole and a lawn","Live music Wednesday through Saturday. Hosts ""Family Fun Days"" including Children's Entrepreneur Markets and movie screenings on the lawn. Duckpin lane rentals $6/person/game. Venue ""welcomes all ages up until 9 p.m.,"" after which it is 21+ — so daytime and early-evening programming is explicitly the family window.","Purpose-built for family daytime events — a lawn they already use for outdoor movie screenings and kids' markets, plus an all-ages-until-9pm policy that makes an afternoon foam party on-brand rather than a conflict. The existing Family Fun Day series is the natural slot to pitch.",https://backyardsocial.com/community-blog/,breweries and food truck parks that host family events,Fort Myers,1486
Fort Myers,breweries and food truck parks that host family events,5,,Fort Myers Brewing Company,(239) 313-6576,unknown,unknown,https://www.fmbrew.com,"Billed as Southwest Florida's largest craft brewery and its original food truck park; 25+ house beers on tap plus Spyk'd hard seltzers/cocktails; family- and locally-owned since 2013, first microbrewery in Lee County; taproom at 12811 Commerce Lakes Dr #28, Fort Myers 33913, open 7 days","Published events calendar. Food trucks on site 7 days a week in an outdoor food truck park, live music 6 nights a week, plus recurring weekly programming — Flights & Bites, Trivia Night, Burger Night and Food Truck Rallies. Annual Grouper Fest runs three consecutive weekends (June 12-28) with beer releases, live music, food trucks, games and contests; free to attend and ""welcomes families, friends, and even four-legged companions."" Site describes the venue as ""Kids, dogs, friends, family — everyone's welcome.""","Best-fit profile in the county. Large outdoor food truck lot, explicit kids-and-dogs-welcome policy, a real public events calendar, and a track record of free multi-weekend family festivals. Foam slots directly into a Sunday food truck rally or a Grouper Fest weekend as a daytime kid draw — Commercial $649 tier.",https://www.fmbrew.com/events/,breweries and food truck parks that host family events,Fort Myers,1473
Fort Myers,breweries and food truck parks that host family events,5,,Millennial Brewing Company,unknown,unknown,unknown,https://millennialbrewing.com,"First brewery in Downtown Fort Myers, nano-brewery and taproom at 1811 Royal Palm Ave, Fort Myers 33901; spacious setting with games (pool, cornhole), on-site food truck, offers venue rentals for events of all sizes","Dedicated events page. Described as pet-friendly and family-friendly and ""home to food festivals, live music performances, food truck rallies and more."" Oktoberfest is a free, family- and pet-friendly event with a bounce house, sing-alongs and traditional German games. ""The Most Magical Market"" features live performances from local theater and dance schools, kids' crafts, handmade vendors and a Disney Karaoke Stage, and is listed on Fun 4 Fort Myers Kids. Venue rentals marketed for weddings, birthdays and corporate functions.","Already books bounce houses and runs a Disney-themed kids' market — they buy family entertainment, which removes the hardest part of the pitch. Private venue rental for birthdays is a second revenue path (Classic/Deluxe tiers).",https://millennialbrewing.com/fort-myers-downtown-fort-myers-millennial-brewing-company-our-events,breweries and food truck parks that host family events,Fort Myers,1499
Fort Myers,breweries and food truck parks that host family events,4,,Palm City Brewing Company,unknown,unknown,unknown,unknown,"10-barrel brewhouse with 18 rotating taps brewed on premise and a German canning line; 7887 Drew Cir, Fort Myers","Explicitly described as ""family friendly"" with a full weekly lineup: special release beers Tuesday, $10 burger-and-a-pint Wednesday, trivia night Thursday, special can releases Friday. Daily rotating food trucks (Viet Yum, H-Anger Management, Eat Bold named).",Stated family-friendly policy plus an established recurring weekly event rhythm and daily food trucks — they already program the calendar. Marked down only because the size of their outdoor/lawn area and direct contact details could not be confirmed.,https://www.visitfortmyers.com/visit/editorial/local-breweries-offer-beer-lovers-variety-fun-and-friendship,breweries and food truck parks that host family events,Fort Myers,1512
Fort Myers,breweries and food truck parks that host family events,3,,Bay Street Yard,(239) 940-8744,unknown,unknown,https://baystreetyard.com,"12,000-square-foot multi-level outdoor entertainment venue at 2136 Bay St, Fort Myers 33901; seating for 300+, multiple full-service bars, three on-site food trucks","Dedicated events page and an Eventbrite organizer page. Covered outdoor stage for live music and DJs, 8ft x 13ft LED screen for sporting events, outdoor games (cornhole, ping pong, bocce). Marketed for ""special and themed events."" One local guide notes families can let children roam in the open-concept alfresco setting.","Genuinely large outdoor footprint and an active events calendar, but the operating pattern skews adult — closed Monday through Wednesday, open until 2am Friday/Saturday, multiple bars, sports-bar positioning. No published all-ages or kids policy found. Worth a call only for a Sunday daytime slot; do not lead with a kids' pitch.",https://baystreetyard.com/specials-events/,breweries and food truck parks that host family events,Fort Myers,1525
